"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"28","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 17:25:25,FALSE,NA,"1225470566091689984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ByronMurphy8",39,TRUE,FALSE,NA,NA
"29","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 11:12:48,FALSE,NA,"1225376793567408129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KISSARRAH",39,TRUE,FALSE,NA,NA
"30","RT @ARMInvestigatio: More choices than ever to ditch animal products! Have you tried the Impossible Whopper? Let us know👇 

#impossiblefood…",FALSE,0,NA,2020-02-06 10:27:42,FALSE,NA,"1225365441901744128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JosCarreo3",2,TRUE,FALSE,NA,NA
"31","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 09:14:44,FALSE,NA,"1225347081063161856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ITZWOODA",39,TRUE,FALSE,NA,NA
"32","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 06:42:01,FALSE,NA,"1225308646663446528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AHintOfLemon269",39,TRUE,FALSE,NA,NA
"33","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 03:52:19,FALSE,NA,"1225265940893503489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Veganize1",39,TRUE,FALSE,NA,NA
"34","RT @HobbsTowne: Way to go @ImpossibleFoods  #ImpossibleFoods #ClimateTech https://t.co/ms3jiqvZd3",FALSE,0,NA,2020-02-06 02:58:53,FALSE,NA,"1225252493958926337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IvanIvanzamora",6,TRUE,FALSE,NA,NA
"35","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 02:58:37,FALSE,NA,"1225252426917142528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IvanIvanzamora",39,TRUE,FALSE,NA,NA
"36","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 02:25:58,FALSE,NA,"1225244210489692160",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AlfonsoSDGs",39,TRUE,FALSE,NA,NA
"37","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 02:21:02,FALSE,NA,"1225242967822217216",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","padiamjam",39,TRUE,FALSE,NA,NA
"38","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 02:12:09,FALSE,NA,"1225240732350455809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tater_Totteroo",39,TRUE,FALSE,NA,NA
"39","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 01:57:00,FALSE,NA,"1225236922257354752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","darynmackenzie",39,TRUE,FALSE,NA,NA
"40","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 01:43:42,FALSE,NA,"1225233572677799936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pop_popculture",39,TRUE,FALSE,NA,NA
"41","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 01:34:49,FALSE,NA,"1225231339093471232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsJessLaurenG",39,TRUE,FALSE,NA,NA
"42","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 01:25:38,FALSE,NA,"1225229026467467265",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","obsolete29",39,TRUE,FALSE,NA,NA
"43","“Are Beyond Meat and Impossible Burger the Death of the Veggie Burger?” by BPP https://t.co/9oKI7Aujid #vegetarian… https://t.co/0gyYxvAJjC",FALSE,3,NA,2020-02-06 01:23:58,TRUE,NA,"1225228607158542336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anonymous_BPP",0,FALSE,FALSE,NA,NA
"44","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 01:20:45,FALSE,NA,"1225227799771959297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PairMobile",39,TRUE,FALSE,NA,NA
"45","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 00:58:58,FALSE,NA,"1225222318370148352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","wellsmitch",39,TRUE,FALSE,NA,NA
"46","RT @HobbsTowne: Way to go @ImpossibleFoods  #ImpossibleFoods #ClimateTech https://t.co/ms3jiqvZd3",FALSE,0,NA,2020-02-06 00:50:20,FALSE,NA,"1225220143007043584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oilervoss",6,TRUE,FALSE,NA,NA
"47","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 00:19:27,FALSE,NA,"1225212372043927552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ver0nika4321",39,TRUE,FALSE,NA,NA
"48","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 00:19:03,FALSE,NA,"1225212269392531456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrissyLove93",39,TRUE,FALSE,NA,NA
